name,Location,URL,Avg Stars,Your Stars,Route Type,grade,Pitches,Length,Area Latitude,Area Longitude,id
Toes and Fingernails,(e) Field of Dreams > Lower Lump Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/123378328/toes-and-fingernails,3,-1,Sport,5.10d,2,200,47.81783,-121.57528,529
End Run,Hag Crag > Lookout Point Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/106927807/end-run,2.8,-1,"Sport, TR",5.10a PG13,1,90,47.82545,-121.55725,530
House of the 7th Bobcat,(b) Central Area > Lookout Point > Lookout Point Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/107526845/house-of-the-7th-bobcat,2.6,-1,Trad,5.11d,2,110,47.82531,-121.55859,531
Steel Monkey,(c) The Country > The Country Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/105805663/steel-monkey,2.6,-1,Trad,5.12,1,50,47.81962,-121.56921,532
Life on Pi?,Lookout jr > Planet Index > Lookout Point Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/122751727/life-on-pi,2.6,-1,Trad,5.8,1,80,47.82584,-121.55801,533
The Source,Rattletale Wall > Lookout Point Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/111116847/the-source,2.7,-1,Sport,5.10-,1,100,47.8243,-121.5613,534
Universal language,Coffee Achievers > Upper Wall's Lower Tier and Trail > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/119485178/universal-language,2.8,-1,"Sport, TR",5.11c,1,45,47.824,-121.5639,535
Heat Seeker,(2) Lower Cheeks > The Cheeks > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/108141515/heat-seeker,2.9,-1,"Trad, TR",5.12-,1,50,47.82399,-121.56548,536
Frog Prince,"(C) Main Wall, left side > Lower Town Wall > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/108157503/frog-prince,2.6,-1,Trad,5.11c,1,,47.81847,-121.57139,537
Stumps Out,(e) Field of Dreams > Lower Lump Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/121374131/stumps-out,3,-1,Sport,5.8,1,75,47.81783,-121.57528,538
Blue Ribbon variation,Mid Wall > Middle Town Walls > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/108261099/blue-ribbon-variation,2.8,-1,Trad,5.10a/b,1,100,47.8191,-121.5719,539
Platform 5.9 3/4,Halloween > Lookout Point Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/122612677/platform-59-34,2.3,-1,"Trad, TR",5.10a,1,50,47.82462,-121.55486,540
Mini Air Dangler,(D) Narrow Arrow and further right > Lower Town Wall > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/108141510/mini-air-dangler,2.3,-1,Trad,5.8+,1,,47.81859,-121.57101,541
Hedge Trimmer,(b) Beetle Bailey Slab > Lower Lump Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/119199051/hedge-trimmer,2,-1,Trad,5.6,1,50,47.81692,-121.57748,542
Doug Thompson's Root Canal,(c) Missing Bottle Buttress > East Side > Inner Walls > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/119260809/doug-thompsons-root-canal,2.2,-1,Trad,5.10b,1,60,47.81955,-121.57496,543
Twenty-Five,Halloween > Lookout Point Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/122613597/twenty-five,2.5,-1,"Trad, TR",5.10a,1,50,47.82462,-121.55486,544
Right Ventricle,(c) The Country > The Country Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/108243550/right-ventricle,2.6,-1,"Trad, Sport",5.10a/b,1,90,47.81962,-121.56921,545
(The Great) Unknown,The Pit Stop > Upper Wall's Lower Tier and Trail > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/117395133/the-great-unknown,2.7,-1,Trad,5.10-,1,50,47.82005,-121.56828,546
Flat Earth,(c) The Wart > Lower Lump Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/118952097/flat-earth,2.8,-1,"Sport, TR",5.12d,1,40,47.81678,-121.5767,547
Sugar Bear,"(C) Main Wall, left side > Lower Town Wall > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/106204401/sugar-bear,2.2,-1,Trad,5.10c,1,,47.81847,-121.57139,548
Jungle Fun,(d) Dana's Arch Area > Upper Town Wall > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/112154868/jungle-fun,2.5,-1,Sport,5.11c,2,,47.82354,-121.56683,549
Imagine Your Best Student Here,Private Idaho > Lookout Point Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/106496221/imagine-your-best-student-here,2.6,-1,Trad,5.11a,1,70,47.825,-121.55807,550
Jazz Hands,Lower Rhythm > The Rhythm Cliff > Middle Town Walls > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/120938288/jazz-hands,2.7,-1,Trad,5.12a,1,40,47.82058,-121.56988,551
Young Girl Sunday Blues,Red Wall > Lookout Point Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/108134672/young-girl-sunday-blues,2.7,-1,Trad,5.10+,1,,47.8251,-121.5587,552
Avenging the Goddess Kring (Short),Rattletale Wall > Lookout Point Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/119393125/avenging-the-goddess-kring-short,2.7,-1,Trad,5.10b,2,130,47.8243,-121.5613,553
A Good Place to Find Frogs,Hag Crag > Lookout Point Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/122614451/a-good-place-to-find-frogs,2,-1,"Trad, TR",5.6,1,75,47.82545,-121.55725,554
